"","avg_bias","rel_bias","coverage","rmse","mcse"
"Intercept",0.029194376896821,-0.00164383375294728,0.347058823529412,0.603119705345746,0.0198639168121275
"Distance_scaled",0.0053979208810388,-0.00546208289086473,0.908193484698914,0.209302984451989,0.0267129846740511
